//This file was created and edited by Kyrylo Glamazdin

//This is the file containing the names of each station in the 
//MTA New York City Transit System,
//followed by the names of the trains that stop at the corresponding station.
//For the purposes of this program, the lines of this file cannot be duplicated.

//Clarifications:

Parkside Av: Q
Prospect Park: B,Q,S Franklin
7 Av: B,Q
Atlantic Ave - Barclays Center: B,D,N,Q,R,2,3,4,5
DeKalb Av: B,Q,R
Canal St: J,N,Q,R,W,6
14 St - Union Sq: L,N,Q,R,W,4,5,6
34 St - Herald Sq: B,D,F,M,N,Q,R,W
Times Sq - 42 St: N,Q,R,S,W,1,2,3,7
57 St - 7 Av: N,Q,R,W
Lexington Av - 63 St: F,Q
72 St: Q
86 St: Q
96 St: Q

//R line

Bay Ridge - 95 St: R
86 St: R
77 St: R
Bay Ridge Av: R
53 St: R
45 St: R
25 St: R
Prospect Av: R
Union St: R
Court St: R
Whitehall St - South Ferry: R,W
Rector St: R,W
Cortlandt St: R,W
City Hall: R,W
Prince St: R,W
8 St - NYU: R,W
23 St: R,W
28 St: R,W
Queens Plaza: E,M,R
36 St: M,R
Steinway St: M,R
46 St: M,R
Northern Blvd: M,R
65 St: M,R
Elmhurst Av: M,R
Grand Av - Newtown: M,R
Woodhaven Blvd: M,R
63 Dr - Rego Park: M,R
67 Av: M,R

//E line

Jamaica Center - Parsons/Archer: E,J
Supthin Blvd - Archer Av - JFK Airport: E,J
Jamaica - Van Wyck: E
Court Sq - 23 St: E,M
Lexington Av - 53 St: E,M
5 Av - 53 St: E,M
World Trade Center: E

//S Franklin

Botanic Garden: S Franklin
Park Pl: S Franklin

//S Rockaway

Rockaway Park - Beach 116 St: S Rockaway
Beach 105 St: S Rockaway
Beach 98 St: S Rockaway
Beach 90 St: S Rockaway

//S 42 St

Grand Central - 42 St: S,4,5,6,7

//1 line

South Ferry: 1
Rector St: 1
WTC - Cortlandt: 1
Chambers St: 1,2,3
Franklin St: 1
Canal St: 1
Houston St: 1
Christopher St - Sheridan Sq: 1
14 St: 1,2,3
18 St: 1
23 St: 1
28 St: 1
34 St - Penn Station: 1,2,3
50 St: 1
66 St: Lincoln Center: 1
72 St: 1,2,3
79 St: 1
86 St: 1
96 St: 1,2,3
103 St: 1
Cathedral Pkwy (110 St): 1
116 St - Columbia University: 1
125 St: 1
137 St - City College: 1
145 St: 1
157 St: 1
181 St: 1
191 St: 1
Dyckman St: 1
207 St: 1
215 St: 1
Marble Hill - 225 St: 1
231 St: 1
238 St: 1
Van Cortlandt Park - 242 St: 1

//2 line

Flatbush Av - Brooklyn College: 2,5
Newkirk Av: 2,5
Beverly Rd: 2,5
Church Av: 2,5
Winthrop St: 2,5
Sterling St: 2,5
President St: 2,5
Franklin Av: 2,3,4,5
Eastern Pkwy - Brooklyn Museum: 2,3
Grand Army Plaza: 2,3
Bergen St: 2,3
Nevins St: 2,3,4,5
Hoyt St: 2,3
Borough Hall: 2,3,4,5
Clark St: 2,3
Wall St: 2,3
Park Place: 2,3
Central Park North (110 St): 2,3
116 St: 2,3
125 St: 2,3
135 St: 2,3
149 St - Grand Concourse: 2,4,5
3 Av - 149 St: 2,5
Jackson Av: 2,5
Prospect Av: 2,5
Intervale Av: 2,5
Simpson St: 2,5
Freeman St: 2,5
174 St: 2,5
West Farms Sq - East Tremont Av: 2,5
East 180 St: 2,5
Bronx Park East: 2
Pelham Pkwy: 2
Allerton Av: 2
Burke Av: 2
Gun Hill Rd: 2
219 St: 2
225 St: 2
233 St: 2
Nereid Av: 2
Wakefield - 241 St: 2

//3 line

